,id,title,union
0,862.0,Toy Story,toy stori led by woodi andi s toy live happili in hi room until andi s birthday bring buzz lightyear onto the scene afraid of lose hi place in andi s heart woodi plot against buzz but when circumst separ buzz and woodi from their owner the duo eventu learn to put asid their differ anim comedi famili tomhank timallen donrickl jimvarney wallaceshawn johnratzenberg anniepott johnmorri erikvondetten lauriemetcalf r leeermey sarahfreeman pennjillett johnlasset pixaranimationstudio
1,8844.0,Jumanji,jumanji when sibl judi and peter discov an enchant board game that open the door to a magic world they unwittingli invit alan an adult who s been trap insid the game for year into their live room alan s onli hope for freedom is to finish the game which prove riski as all three find themselv run from giant rhinoceros evil monkey and other terrifi creatur adventur fantasi famili robinwilliam jonathanhyd kirstendunst bradleypierc bonniehunt bebeneuwirth davidalangri patriciaclarkson adamhann byrd laurabellbundi jameshandi gillianbarb brandonobray cyrusthiedek garyjosephthorup leonardzola lloydberri malcolmstewart annabelkershaw darrylhenriqu robyndriscol peterbry sarahgilson floricavlad junelion brendalockmul joejohnston tristarpictur teitlerfilm interscopecommun
2,11862.0,Father of the Bride Part II,father of the bride part ii just when georg bank ha recov from hi daughter s wed he receiv the news that she s pregnant and that georg s wife nina is expect too he wa plan on sell their home but that s a plan that like georg will have to chang with the arriv of both a grandchild and a kid of hi own comedi stevemartin dianekeaton martinshort kimberlywilliam paisley georgenewbern kieranculkin bdwong petermichaelgoetz katemcgregor stewart janeadam eugenelevi lorialan charlesshy sandollarproduct touchstonepictur
3,949.0,Heat,heat obsess master thief neil mccauley lead a top notch crew on variou insan heist throughout lo angel while a mental unstabl detect vincent hanna pursu him without rest each man recogn and respect the abil and the dedic of the other even though they are awar their cat and mous game may end in violenc action crime drama thriller alpacino robertdeniro valkilm jonvoight tomsizemor dianevenora amybrenneman ashleyjudd mykeltiwilliamson natalieportman tedlevin tomnoonan toneloc hankazaria wesstudi dennishaysbert dannytrejo henryrollin williamfichtn kevingag susantraylor jerrytrimbl rickyharri jeremypiven xanderberkeley begonyaplaza rickaveri hazellegoodman raybuktenica maxdaniel vincedeadrickjr stevenford farrahfork patriciaheali paulherman cindykatz brianlibbi danmartin mariorobert thomasrosal jr yvonnezima mickgould budcort vivianev kimstaunton martinferrero bradbaldridg andrewcamuccio kennyendoso kimberlyflynn nikiharri billmcintosh rickmarzan terrymil danielo haco kaisoremekun peterblackwel trevorcoppola marykirch darinmangan robertmiranda mannyperri ivafrankssing timwern philipettington michaelmann regencyenterpris forwardpass warnerbro
4,9091.0,Sudden Death,sudden death intern action superstar jean claud van damm team with power booth in a tension pack suspens thriller set against the back drop of a stanley cup game van damm portray a father whose daughter is suddenli taken dure a championship hockey game with the captor demand a billion dollar by game s end van damm frantic set a plan in motion to rescu hi daughter and abort an impend explos befor the final buzzer action adventur thriller jean claudevandamm powersbooth dorianharewood raymondj barri rossmaling whittniwright peterhyam universalpictur imperialentertain signatureentertain
5,710.0,GoldenEye,goldeney jame bond must unmask the mysteri head of the janu syndic and prevent the leader from util the goldeney weapon system to inflict devast reveng on britain adventur action thriller piercebrosnan seanbean izabellascorupco famkejanssen joedonbak judidench gottfriedjohn robbiecoltran alancum tch kykaryo desmondllewelyn samanthabond michaelkitchen serenagordon simonkunz billyj mitchel constantinegregori minniedriv michellearthur ravilisyanov martincampbel unitedartist eonproduct
6,9087.0,The American President,the american presid widow u s presid andrew shepherd one of the world s most power men can have anyth he want and what he covet most is sydney ellen wade a washington lobbyist but shepherd s attempt at court her spark wild rumor and decim hi approv rate comedi drama romanc michaeldougla annetteben michaelj fox martinsheen annadeaveresmith shawnawaldron samanthamathi davidpaym richarddreyfuss ninasiemaszko wendiemalick beaubillingslea gailstrickland joshuamalina clementvonfranckenstein johnmahoney johnmahon gabrieljarret robrein columbiapictur castlerockentertain
7,12110.0,Dracula: Dead and Loving It,dracula dead and love it when a lawyer show up at the vampir s doorstep he fall prey to hi charm and join him in hi search for fresh blood enter dr van hels who may be the onli one abl to vanquish the count comedi horror leslienielsen melbrook amyyasbeck petermacnicol lysetteanthoni harveykorman stevenweb markblankfield megancavanagh greggbinkley annebancroft melbrook columbiapictur castlerockentertain enigmapictur
8,21032.0,Balto,balto an outcast half wolf risk hi life to prevent a deadli epidem from ravag nome alaska famili anim adventur kevinbacon bobhoskin bridgetfonda jimcum philcollin juliettebrew jackangel dannymann robbierist sandradickinson frankwelk miriammargoly lolab campbel simonwel universalpictur amblinentertain amblim
9,524.0,Casino,casino the life of the gambl paradis la vega and it dark mafia underbelli drama crime robertdeniro sharonston joepesci jameswood donrickl alank kevinpollak pasqualecajano l q jone dicksmoth frankvinc oscargoodman richardriehl catherinescorses vinnyvella nobumatsuhisa erikavontagen nickmazzola davidros johnbloom josephrigano philipsuriano melissaprophet billallison joeladu josephp reidi craigvinc carlciarfalio generuffini dominickgrieco clemcaserta danielp cont joeydepinto jackorend paulherman jedmil claudiaharo ffolliottlecoqu johnmanca ronaldmaccon josephbono frankadoni anthonyrussel stuartnisbet alfrednittoli martinscorses universalpictur l gendeentrepris syalisda defina cappa
